지점명,일시,강수량(mm),강수 기록,전날강수
서울,2017-09-02,0.0,0,0.0
서울,2017-09-03,0.0,0,0.0
서울,2017-09-04,0.0,0,0.0
서울,2017-09-05,0.0,0,0.0
서울,2017-09-06,2.0,1,0.0
서울,2017-09-07,0.0,0,1.0
서울,2017-09-08,0.0,0,0.0
서울,2017-09-09,0.0,0,0.0
서울,2017-09-10,0.5,1,0.0
서울,2017-09-11,24.0,1,1.0
서울,2017-09-12,0.0,0,1.0
서울,2017-09-13,0.0,0,0.0
서울,2017-09-14,0.0,0,0.0
서울,2017-09-15,0.0,0,0.0
서울,2017-09-16,0.0,0,0.0
서울,2017-09-17,0.0,0,0.0
서울,2017-09-18,0.0,0,0.0
서울,2017-09-19,8.0,1,0.0
서울,2017-09-20,0.0,0,1.0
서울,2017-09-21,0.0,0,0.0
서울,2017-09-22,0.0,0,0.0
서울,2017-09-23,0.0,0,0.0
서울,2017-09-24,0.0,0,0.0
서울,2017-09-25,0.0,0,0.0
서울,2017-09-26,0.0,0,0.0
서울,2017-09-27,0.5,1,0.0
서울,2017-09-28,0.0,0,1.0
서울,2017-09-29,0.0,0,0.0
서울,2017-09-30,0.0,0,0.0
서울,2017-10-01,4.0,1,0.0
서울,2017-10-02,1.5,1,1.0
서울,2017-10-03,0.0,0,1.0
서울,2017-10-04,0.0,0,0.0
서울,2017-10-05,0.0,0,0.0
서울,2017-10-06,0.5,1,0.0
서울,2017-10-07,0.0,0,1.0
서울,2017-10-08,0.0,0,0.0
서울,2017-10-09,0.0,0,0.0
서울,2017-10-10,0.4,1,0.0
서울,2017-10-11,20.0,1,1.0
서울,2017-10-12,0.0,0,1.0
서울,2017-10-13,0.0,0,0.0
서울,2017-10-14,0.0,0,0.0
서울,2017-10-15,0.0,0,0.0
서울,2017-10-16,0.0,0,0.0
서울,2017-10-17,0.0,0,0.0
서울,2017-10-18,0.1,1,0.0
서울,2017-10-19,0.0,0,1.0
서울,2017-10-20,0.0,0,0.0
서울,2017-10-21,0.0,0,0.0
서울,2017-10-22,0.0,0,0.0
서울,2017-10-23,0.0,0,0.0
서울,2017-10-24,0.0,0,0.0
서울,2017-10-25,0.0,0,0.0
서울,2017-10-26,0.0,0,0.0
서울,2017-10-27,0.0,0,0.0
서울,2017-10-28,0.0,0,0.0
서울,2017-10-29,0.0,0,0.0
서울,2017-10-30,0.0,0,0.0
서울,2017-10-31,0.0,0,0.0
서울,2018-09-01,0.0,0,0.0
서울,2018-09-02,0.0,0,0.0
서울,2018-09-03,34.5,1,0.0
서울,2018-09-04,0.0,0,1.0
서울,2018-09-05,0.0,0,0.0
서울,2018-09-06,1.0,1,0.0
서울,2018-09-07,0.5,1,1.0
서울,2018-09-08,0.0,0,1.0
서울,2018-09-09,0.0,0,0.0
서울,2018-09-10,0.0,0,0.0
서울,2018-09-11,0.0,0,0.0
서울,2018-09-12,0.0,0,0.0
서울,2018-09-13,0.0,0,0.0
서울,2018-09-14,0.5,1,0.0
서울,2018-09-15,0.2,1,1.0
서울,2018-09-16,2.0,1,1.0
서울,2018-09-17,0.1,1,1.0
서울,2018-09-18,0.0,0,1.0
서울,2018-09-19,0.2,1,0.0
서울,2018-09-20,5.0,1,1.0
서울,2018-09-21,18.0,1,1.0
서울,2018-09-22,6.5,1,1.0
서울,2018-09-23,0.0,0,1.0
서울,2018-09-24,0.0,0,0.0
서울,2018-09-25,0.0,0,0.0
서울,2018-09-26,0.0,0,0.0
서울,2018-09-27,0.0,0,0.0
서울,2018-09-28,0.0,0,0.0
서울,2018-09-29,0.0,0,0.0
서울,2018-09-30,0.0,0,0.0
서울,2018-10-01,0.0,0,0.0
서울,2018-10-02,0.0,0,0.0
서울,2018-10-03,0.0,0,0.0
서울,2018-10-04,0.0,0,0.0
서울,2018-10-05,36.5,1,0.0
서울,2018-10-06,55.5,1,1.0
서울,2018-10-07,0.0,0,1.0
서울,2018-10-08,0.0,0,0.0
서울,2018-10-09,0.0,0,0.0
서울,2018-10-10,7.0,1,0.0
서울,2018-10-11,0.0,0,1.0
서울,2018-10-12,0.0,0,0.0
서울,2018-10-13,0.0,0,0.0
서울,2018-10-14,0.0,0,0.0
서울,2018-10-15,0.0,0,0.0
서울,2018-10-16,0.0,0,0.0
서울,2018-10-17,0.0,0,0.0
서울,2018-10-18,0.0,0,0.0
서울,2018-10-19,0.0,0,0.0
서울,2018-10-20,0.0,0,0.0
서울,2018-10-21,0.0,0,0.0
서울,2018-10-22,0.0,0,0.0
서울,2018-10-23,5.0,1,0.0
서울,2018-10-24,0.0,0,1.0
서울,2018-10-25,0.0,0,0.0
서울,2018-10-26,11.0,1,0.0
서울,2018-10-27,0.0,0,1.0
서울,2018-10-28,5.5,1,0.0
서울,2018-10-29,0.0,0,1.0
서울,2018-10-30,0.0,0,0.0
서울,2018-10-31,0.0,0,0.0
서울,2019-09-01,0.0,0,0.0
서울,2019-09-02,0.0,0,0.0
서울,2019-09-03,0.0,0,0.0
서울,2019-09-04,22.7,1,0.0
서울,2019-09-05,36.4,1,1.0
서울,2019-09-06,2.4,1,1.0
서울,2019-09-07,2.8,1,1.0
서울,2019-09-08,0.0,0,1.0
서울,2019-09-09,0.0,0,0.0
서울,2019-09-10,63.2,1,0.0
서울,2019-09-11,7.6,1,1.0
서울,2019-09-12,3.9,1,1.0
서울,2019-09-13,0.1,1,1.0
서울,2019-09-14,0.3,1,1.0
서울,2019-09-15,0.0,0,1.0
서울,2019-09-16,0.0,0,0.0
서울,2019-09-17,0.0,0,0.0
서울,2019-09-18,0.0,0,0.0
서울,2019-09-19,0.0,0,0.0
서울,2019-09-20,0.0,0,0.0
서울,2019-09-21,0.0,0,0.0
서울,2019-09-22,0.4,1,0.0
