집계일자,집계시,출발영업소코드,도착영업소코드,TCS차종구분코드,통행시간
20170127,15,101,140,1,24238
20170127,8,101,140,1,22762
20170127,7,101,140,6,23867
20170127,18,101,140,1,23196
20170127,7,101,140,1,23654
20170127,12,101,140,1,23568
20170127,23,101,140,1,17883
20170127,22,101,140,1,18950
20170127,22,101,140,6,-1
20170127,13,101,140,6,26016
20170127,6,101,140,1,22642
20170127,13,101,140,1,24063
20170127,20,101,140,1,20906
20170127,21,101,140,6,18844
20170127,14,101,140,1,23985
20170127,2,101,140,6,21197
20170127,2,101,140,3,-1
20170127,21,101,140,1,19714
20170127,1,101,140,1,29736
20170127,2,101,140,1,27596
20170127,11,101,140,1,22915
20170127,4,101,140,1,23368
20170127,19,101,140,1,22595
20170127,3,101,140,1,24701
20170127,16,101,140,1,23956
20170127,0,101,140,1,31388
20170127,5,101,140,1,23198
20170127,5,101,140,6,21757
20170127,9,101,140,1,22593
20170127,17,101,140,1,23530
20170127,17,101,140,6,24880
20170127,10,101,140,1,22787
20170127,14,101,140,6,26500
20170127,19,101,140,6,22198
20170127,18,101,140,6,23655
20170127,20,101,140,6,20578
20170127,6,101,140,6,22023
20170127,16,101,140,6,25772
20170127,4,101,140,6,21324
20170127,10,101,140,6,24635
20170127,3,101,140,6,21244
20170127,15,101,140,6,26356
20170127,8,101,140,6,24123
20170127,9,101,140,6,24379
20170127,11,101,140,6,25095
20170127,12,101,140,6,25556
