집계일자,집계시,출발영업소코드,도착영업소코드,TCS차종구분코드,통행시간
20200930,4,101,140,1,17279
20200930,17,101,140,1,20615
20200930,22,101,140,1,16769
20200930,10,101,140,1,16730
20200930,11,101,140,1,18030
20200930,21,101,140,1,17326
20200930,6,101,140,1,15569
20200930,8,101,140,1,15032
20200930,15,101,140,1,20843
20200930,14,101,140,1,20287
20200930,7,101,140,1,14830
20200930,23,101,140,1,15580
20200930,18,101,140,6,19007
20200930,18,101,140,1,19668
20200930,2,101,140,1,19391
20200930,3,101,140,1,18363
20200930,9,101,140,1,16060
20200930,13,101,140,1,20191
20200930,1,101,140,1,19298
20200930,5,101,140,1,16546
20200930,16,101,140,1,20407
20200930,12,101,140,1,18824
20200930,19,101,140,1,18746
20200930,0,101,140,1,20459
20200930,20,101,140,1,18004
