집계시,출발영업소코드,도착영업소코드,통행시간,요일,arrive_traffic,rain-1
15,101,140,24238,4,125,0
8,101,140,22762,4,125,0
7,101,140,23867,4,125,0
18,101,140,23196,4,125,0
7,101,140,23654,4,125,0
12,101,140,23568,4,125,0
23,101,140,17883,4,125,0
22,101,140,18950,4,125,0
13,101,140,26016,4,125,0
6,101,140,22642,4,125,0
13,101,140,24063,4,125,0
20,101,140,20906,4,125,0
21,101,140,18844,4,125,0
14,101,140,23985,4,125,0
2,101,140,21197,4,125,0
21,101,140,19714,4,125,0
1,101,140,29736,4,125,0
2,101,140,27596,4,125,0
11,101,140,22915,4,125,0
4,101,140,23368,4,125,0
19,101,140,22595,4,125,0
3,101,140,24701,4,125,0
16,101,140,23956,4,125,0
0,101,140,31388,4,125,0
5,101,140,23198,4,125,0
5,101,140,21757,4,125,0
9,101,140,22593,4,125,0
17,101,140,23530,4,125,0
17,101,140,24880,4,125,0
10,101,140,22787,4,125,0
14,101,140,26500,4,125,0
19,101,140,22198,4,125,0
18,101,140,23655,4,125,0
20,101,140,20578,4,125,0
6,101,140,22023,4,125,0
16,101,140,25772,4,125,0
4,101,140,21324,4,125,0
10,101,140,24635,4,125,0
3,101,140,21244,4,125,0
15,101,140,26356,4,125,0
8,101,140,24123,4,125,0
9,101,140,24379,4,125,0
11,101,140,25095,4,125,0
12,101,140,25556,4,125,0
18,101,140,28533,1,73,0
22,101,140,21735,1,73,0
4,101,140,18484,1,73,0
5,101,140,17948,1,73,0
5,101,140,21128,1,73,0
6,101,140,17899,1,73,0
6,101,140,21719,1,73,0
11,101,140,20440,1,73,0
2,101,140,21405,1,73,0
3,101,140,19701,1,73,0
9,101,140,19593,1,73,0
17,101,140,28225,1,73,0
9,101,140,19068,1,73,0
14,101,140,24045,1,73,0
10,101,140,19908,1,73,0
16,101,140,27781,1,73,0
7,101,140,17126,1,73,0
10,101,140,19475,1,73,0
12,101,140,21693,1,73,0
19,101,140,31192,1,73,0
19,101,140,27157,1,73,0
15,101,140,26477,1,73,0
23,101,140,21183,1,73,0
13,101,140,22932,1,73,0
8,101,140,20402,1,73,0
8,101,140,17523,1,73,0
20,101,140,28752,1,73,0
1,101,140,22180,1,73,0
20,101,140,26391,1,73,0
0,101,140,20111,1,73,0
0,101,140,23247,1,73,0
1,101,140,19121,1,73,0
21,101,140,24624,1,73,0
21,101,140,26355,1,73,0
3,101,140,19764,1,73,0
4,101,140,20536,1,73,0
7,101,140,22177,1,73,0
2,101,140,19443,1,73,0
6,101,140,18771,3,78,0
19,101,140,29017,3,78,0
13,101,140,24783,3,78,0
13,101,140,24952,3,78,0
8,101,140,19276,3,78,0
15,101,140,27498,3,78,0
8,101,140,18807,3,78,0
23,101,140,19506,3,78,0
14,101,140,26516,3,78,0
17,101,140,30080,3,78,0
18,101,140,28622,3,78,0
16,101,140,29225,3,78,0
9,101,140,19371,3,78,0
0,101,140,24865,3,78,0
12,101,140,23824,3,78,0
9,101,140,19376,3,78,0
0,101,140,24191,3,78,0
7,101,140,18637,3,78,0
22,101,140,21322,3,78,0
5,101,140,19899,3,78,0
4,101,140,21368,3,78,0
2,101,140,22500,3,78,0
4,101,140,20814,3,78,0
5,101,140,20073,3,78,0
1,101,140,23711,3,78,0
2,101,140,23111,3,78,0
3,101,140,22033,3,78,0
11,101,140,21563,3,78,0
21,101,140,24183,3,78,0
20,101,140,27489,3,78,0
10,101,140,20286,3,78,0
7,101,140,19950,3,78,0
6,101,140,20045,3,78,0
1,101,140,24544,3,78,0
3,101,140,22398,3,78,0
11,101,140,21433,3,78,0
12,101,140,23069,3,78,0
